contrast,persona_id,first_arm,second_arm,first_value,second_value,difference_percentage_points,included,omission_reason
C0-S,P01,C0,S,25,25,0,True,
C0-S,P02,C0,S,25,25,0,True,
C0-S,P03,C0,S,25,25,0,True,
C0-S,P04,C0,S,25,0,25,True,
C0-S,P05,C0,S,25,25,0,True,
C0-S,P06,C0,S,25,25,0,True,
C0-S,P07,C0,S,25,25,0,True,
C0-S,P08,C0,S,0,25,-25,True,
C0-S,P09,C0,S,25,25,0,True,
C0-S,P10,C0,S,25,0,25,True,
C0-S,P11,C0,S,25,,,False,one or both outcomes invalid/missing
C0-S,P12,C0,S,25,25,0,True,
C0-S,P13,C0,S,25,25,0,True,
C0-S,P14,C0,S,50,25,25,True,
C0-S,P15,C0,S,25,25,0,True,
C0-S,P16,C0,S,25,25,0,True,
T1-C0,P01,T1,C0,25,25,0,True,
T1-C0,P02,T1,C0,50,25,25,True,
T1-C0,P03,T1,C0,25,25,0,True,
T1-C0,P04,T1,C0,25,25,0,True,
T1-C0,P05,T1,C0,25,25,0,True,
T1-C0,P06,T1,C0,25,25,0,True,
T1-C0,P07,T1,C0,25,25,0,True,
T1-C0,P08,T1,C0,0,0,0,True,
T1-C0,P09,T1,C0,25,25,0,True,
T1-C0,P10,T1,C0,0,25,-25,True,
T1-C0,P11,T1,C0,0,25,-25,True,
T1-C0,P12,T1,C0,25,25,0,True,
T1-C0,P13,T1,C0,0,25,-25,True,
T1-C0,P14,T1,C0,25,50,-25,True,
T1-C0,P15,T1,C0,0,25,-25,True,
T1-C0,P16,T1,C0,25,25,0,True,
T2-T1,P01,T2,T1,25,25,0,True,
T2-T1,P02,T2,T1,25,50,-25,True,
T2-T1,P03,T2,T1,25,25,0,True,
T2-T1,P04,T2,T1,0,25,-25,True,
T2-T1,P05,T2,T1,25,25,0,True,
T2-T1,P06,T2,T1,25,25,0,True,
T2-T1,P07,T2,T1,25,25,0,True,
T2-T1,P08,T2,T1,0,0,0,True,
T2-T1,P09,T2,T1,25,25,0,True,
T2-T1,P10,T2,T1,0,0,0,True,
T2-T1,P11,T2,T1,0,0,0,True,
T2-T1,P12,T2,T1,25,25,0,True,
T2-T1,P13,T2,T1,25,0,25,True,
T2-T1,P14,T2,T1,25,25,0,True,
T2-T1,P15,T2,T1,0,0,0,True,
T2-T1,P16,T2,T1,25,25,0,True,
T3-T2,P01,T3,T2,0,25,-25,True,
T3-T2,P02,T3,T2,25,25,0,True,
T3-T2,P03,T3,T2,25,25,0,True,
T3-T2,P04,T3,T2,0,0,0,True,
T3-T2,P05,T3,T2,25,25,0,True,
T3-T2,P06,T3,T2,0,25,-25,True,
T3-T2,P07,T3,T2,0,25,-25,True,
T3-T2,P08,T3,T2,0,0,0,True,
T3-T2,P09,T3,T2,25,25,0,True,
T3-T2,P10,T3,T2,0,0,0,True,
T3-T2,P11,T3,T2,0,0,0,True,
T3-T2,P12,T3,T2,25,25,0,True,
T3-T2,P13,T3,T2,0,25,-25,True,
T3-T2,P14,T3,T2,25,25,0,True,
T3-T2,P15,T3,T2,0,0,0,True,
T3-T2,P16,T3,T2,0,25,-25,True,
